,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,isCanceled,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online,date,maxtemp,mintemp,sunhour,totalsnow
144,14,2018,3,31,2,3,0,2,0,0,0,0,140.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
153,46,2018,3,31,0,2,0,3,0,0,0,0,123.3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
162,55,2018,3,31,0,2,0,1,0,1,0,5,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
171,173,2018,3,31,0,3,0,2,0,0,0,0,100.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
180,58,2018,3,31,0,3,0,2,0,0,0,0,90.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
189,59,2018,3,31,0,3,0,2,0,0,0,0,74.83,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-03-31,11,7,9.0,0.0
198,9,2018,3,31,0,1,0,1,0,0,0,0,95.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
207,0,2018,3,31,0,3,0,2,0,0,0,0,99.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
216,86,2018,3,31,1,3,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
225,58,2018,3,31,0,3,0,2,0,0,0,0,90.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
234,58,2018,3,31,0,3,0,2,0,0,0,0,90.9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
243,173,2018,3,31,0,3,0,2,0,0,0,0,100.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
252,21,2018,3,31,2,4,0,1,0,0,0,0,135.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
261,86,2018,3,31,1,3,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
270,78,2018,3,31,2,3,0,2,0,0,0,0,82.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
279,90,2018,3,31,0,3,0,2,0,0,0,0,96.3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
288,48,2018,3,31,0,3,0,2,0,0,0,0,104.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
297,52,2018,3,31,1,3,0,2,0,0,0,0,99.88,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
306,30,2018,3,31,0,3,0,3,0,0,0,0,150.3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
315,22,2018,3,31,2,3,0,2,0,0,0,0,137.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
324,39,2018,3,31,0,2,0,2,0,0,0,0,161.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
333,69,2018,3,31,2,4,0,1,1,0,0,0,95.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
342,71,2018,3,31,1,3,0,2,0,0,0,0,90.95,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
351,113,2018,3,31,0,3,0,0,2,0,0,0,78.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
360,78,2018,3,31,2,4,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
369,54,2018,3,31,0,3,0,2,0,0,0,0,104.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
378,3,2018,3,31,0,1,0,1,0,0,0,0,106.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
387,88,2018,3,31,2,6,0,2,0,0,0,0,72.25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
396,69,2018,3,31,0,2,0,1,0,0,0,0,76.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
405,76,2018,3,31,0,3,0,2,0,0,0,0,80.1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
414,41,2018,3,31,0,3,0,2,0,0,0,0,117.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
423,2,2018,3,31,0,2,0,2,1,1,1,8,83.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
432,59,2018,3,31,0,3,0,2,0,0,0,0,90.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
441,17,2018,3,31,0,1,0,2,0,0,0,0,72.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-03-31,11,7,9.0,0.0
450,80,2018,3,31,2,3,0,2,0,0,0,0,55.63,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
459,52,2018,3,31,1,3,0,2,0,0,0,0,99.88,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
468,86,2018,3,31,1,3,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
477,92,2018,3,31,2,3,0,2,0,0,0,0,76.5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
486,9,2018,3,31,0,2,1,1,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
495,55,2018,3,31,0,1,0,3,0,0,0,0,127.82,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-03-31,11,7,9.0,0.0
504,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
513,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
522,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
531,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
540,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
549,116,2018,2,28,2,1,0,2,0,0,0,0,96.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
558,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
567,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
576,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
585,116,2018,2,28,2,1,0,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
594,27,2018,2,28,2,3,0,3,0,0,0,0,130.92,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
603,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
612,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
621,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
630,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
639,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
648,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
657,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
666,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
675,116,2018,2,28,2,2,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
684,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
693,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
702,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
711,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
720,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
729,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
738,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
747,116,2018,2,28,2,2,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
756,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
765,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
774,116,2018,2,28,2,1,0,1,0,0,0,0,75.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
783,54,2018,2,28,2,2,0,2,2,0,0,0,148.33,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
792,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
801,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
810,13,2018,2,28,2,3,0,1,0,0,0,0,118.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
819,4,2018,2,28,2,4,0,2,0,0,0,0,80.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
828,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
837,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
846,18,2018,2,28,2,1,0,1,0,0,0,0,145.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
855,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
864,30,2018,2,28,2,1,0,2,0,0,0,0,72.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
873,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
882,39,2018,2,28,2,2,0,2,0,0,0,0,72.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
891,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
900,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
909,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
918,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
927,138,2018,2,28,2,1,0,2,0,0,0,0,63.36,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
936,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
945,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
954,116,2018,2,28,2,1,0,1,0,0,0,0,81.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
963,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
972,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
981,43,2018,2,28,2,0,0,2,0,0,0,0,90.9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
990,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
999,116,2018,2,28,2,1,0,1,0,0,0,0,85.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1008,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1017,34,2018,2,28,2,0,0,2,0,0,0,0,6.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2018-02-28,0,-6,11.0,0.0
1026,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1035,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1044,53,2018,2,28,2,0,0,2,0,0,0,0,96.3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
1053,116,2018,2,28,2,1,0,1,0,0,0,0,75.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1062,116,2018,2,28,2,2,0,1,0,0,0,0,75.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1071,116,2018,2,28,2,0,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1080,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1089,116,2018,2,28,3,5,0,1,0,0,0,0,90.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1098,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1107,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1116,116,2018,2,28,2,2,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1125,116,2018,2,28,2,2,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1134,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1143,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1152,18,2018,2,28,2,2,0,3,0,0,0,0,130.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
1161,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1170,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
1179,116,2018,2,28,2,1,0,2,0,0,0,0,87.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1188,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1197,6,2018,2,28,2,5,0,2,0,0,0,0,80.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1206,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1215,116,2018,2,28,2,2,0,2,0,0,0,0,72.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1224,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1233,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1242,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1251,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1260,83,2018,2,28,2,1,0,2,2,0,0,0,129.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1269,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
1278,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1287,39,2018,2,28,2,2,0,2,0,0,0,0,72.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-02-28,0,-6,11.0,0.0
1296,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1305,41,2018,2,28,2,5,0,2,0,0,0,0,66.29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1314,30,2018,2,28,2,1,0,2,0,0,0,0,72.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1323,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1332,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1341,116,2018,2,28,2,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1350,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
1359,5,2018,2,28,2,0,0,1,0,1,0,2,66.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-02-28,0,-6,11.0,0.0
1368,1,2018,2,28,2,1,0,1,0,0,0,0,60.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-02-28,0,-6,11.0,0.0
