BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
53,2,2017,11,9,1,2,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,79,0,Not_Canceled
54,131,2018,5,5,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,114.3,1,Canceled
55,211,2018,5,20,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,100,0,Canceled
56,74,2017,9,18,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109,2,Not_Canceled
57,113,2018,7,18,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,107.55,0,Canceled
58,4,2018,5,1,1,0,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,125,1,Not_Canceled
59,33,2018,10,28,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,109,1,Canceled
60,150,2018,7,14,2,8,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,131.75,2,Canceled
61,27,2018,12,1,1,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,96,1,Not_Canceled
62,54,2018,6,3,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,140.4,0,Not_Canceled
63,87,2018,7,1,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,114.3,2,Not_Canceled
64,4,2018,2,5,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,81,0,Canceled
65,93,2018,10,16,4,6,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,129.51,0,Canceled
66,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,115,1,Canceled
67,0,2018,6,3,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,129,1,Not_Canceled
68,145,2017,8,29,2,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,94.5,0,Not_Canceled
69,241,2018,10,30,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,75.92,1,Not_Canceled
70,163,2018,8,26,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,96.3,0,Canceled
71,71,2018,10,7,0,1,Meal Plan 1,0,Room_Type 2,2,0,Online,0,0,0,108,1,Not_Canceled
72,1,2017,12,15,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,0,2,75,0,Not_Canceled
73,26,2018,4,11,1,0,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,89,1,Not_Canceled
74,64,2018,6,19,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,116.1,0,Canceled
75,292,2018,7,21,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,115,0,Canceled
76,71,2018,6,14,0,3,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,120,0,Not_Canceled
77,1,2018,3,12,1,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,88.43,1,Not_Canceled
78,266,2018,12,26,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,73.95,0,Canceled
79,258,2018,10,16,1,0,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,110,0,Canceled
80,10,2017,10,5,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,135.5,1,Not_Canceled
81,40,2017,10,19,1,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.6,0,Canceled
82,129,2018,4,11,1,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,80.75,1,Not_Canceled
83,5,2018,7,12,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,187,1,Canceled
84,158,2018,4,16,2,1,Meal Plan 1,0,Room_Type 2,2,0,Online,0,0,0,69.92,1,Not_Canceled
85,130,2018,6,27,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,96.3,0,Not_Canceled
86,42,2018,1,16,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,78.3,1,Not_Canceled
87,0,2018,5,24,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,105.34,1,Not_Canceled
88,23,2018,9,5,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.94,0,Canceled
89,39,2018,1,17,2,0,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,89.3,1,Not_Canceled
90,179,2018,8,31,0,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,111.6,0,Canceled
91,1,2018,1,27,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,71.2,0,Not_Canceled
92,13,2018,3,27,2,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,79.15,0,Not_Canceled
93,69,2017,7,12,2,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,76.5,1,Canceled
94,69,2018,10,17,1,3,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,90.95,1,Not_Canceled
95,40,2018,8,28,2,5,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,127.16,0,Not_Canceled
96,0,2018,7,20,0,1,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,0,0,Not_Canceled
97,82,2018,4,6,1,4,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,99.45,0,Canceled
98,186,2018,8,6,2,6,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,130.05,2,Canceled
99,195,2018,8,7,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,99,1,Canceled
100,16,2017,9,9,0,3,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,131,2,Not_Canceled
101,9,2018,2,24,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,67.22,1,Not_Canceled
102,25,2018,10,17,1,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,129,2,Not_Canceled
103,215,2018,5,4,0,4,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,100.8,2,Canceled
104,5,2017,11,10,0,4,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,76.58,1,Not_Canceled
105,15,2018,8,28,2,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,130,1,Not_Canceled
106,221,2017,10,10,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,65,0,Not_Canceled
107,38,2018,3,5,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,67.6,1,Not_Canceled
108,15,2018,3,4,0,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,135,2,Not_Canceled
109,99,2018,2,14,2,2,Meal Plan 1,0,Room_Type 2,2,0,Online,0,0,0,79.5,2,Not_Canceled
110,185,2018,12,16,1,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,103.5,0,Not_Canceled
111,0,2018,10,15,1,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,66.13,0,Not_Canceled
112,19,2018,12,28,2,5,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,121.2,2,Not_Canceled
113,3,2017,8,18,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,122,2,Not_Canceled
114,41,2017,11,1,2,3,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,60,1,Not_Canceled
115,1,2018,2,26,0,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,127,0,Not_Canceled
116,88,2018,4,8,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,58.9,1,Not_Canceled
117,26,2017,10,19,1,3,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,75,1,Not_Canceled
118,20,2018,11,1,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,76,0,Not_Canceled
119,54,2017,10,5,1,0,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,65,0,Not_Canceled
120,65,2018,9,7,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,136.8,0,Canceled
121,259,2018,5,5,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,90,0,Canceled
122,141,2018,5,15,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,104.55,1,Not_Canceled
123,65,2017,12,30,1,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,96.2,1,Not_Canceled
124,19,2018,9,23,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,139,1,Not_Canceled
125,64,2018,10,25,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,80.1,0,Not_Canceled
126,46,2018,8,28,2,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,81.31,0,Not_Canceled
127,5,2018,4,4,1,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,95,1,Not_Canceled
128,7,2018,12,20,0,4,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,100.73,0,Not_Canceled
129,99,2018,4,5,0,3,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,90.63,0,Not_Canceled
130,3,2017,10,19,1,2,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,133,1,Not_Canceled
131,55,2018,6,26,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,108.9,1,Canceled
132,9,2017,12,27,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,103.67,1,Not_Canceled
133,286,2018,9,16,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,117,0,Canceled
134,60,2018,12,23,0,1,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,156.6,1,Not_Canceled
135,84,2018,9,7,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,65,0,Not_Canceled
136,8,2018,3,18,2,3,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,214.6,0,Canceled
137,30,2018,1,1,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,92,1,Not_Canceled
138,20,2018,8,31,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,122,1,Canceled
139,69,2018,5,9,1,4,Meal Plan 1,0,Room_Type 1,1,1,Online,0,0,0,135.15,2,Not_Canceled
140,305,2018,11,4,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,89,0,Canceled
141,0,2018,3,9,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,2,24,65,1,Not_Canceled
142,32,2018,2,5,2,3,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,80.3,1,Not_Canceled
143,64,2018,8,29,1,4,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,148.5,2,Canceled
144,33,2018,11,13,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,97.4,1,Not_Canceled
145,122,2018,4,15,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85,0,Not_Canceled
146,99,2018,8,8,1,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,166.4,2,Canceled
147,146,2018,7,16,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,99.45,1,Not_Canceled
148,173,2018,3,31,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.8,2,Canceled
149,4,2018,9,5,1,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,149,0,Canceled
150,26,2018,8,30,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,122,2,Not_Canceled
151,123,2018,3,30,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,110.33,0,Canceled
152,5,2018,4,11,3,8,Meal Plan 1,0,Room_Type 1,1,0,Aviation,0,0,0,95,0,Not_Canceled
153,256,2018,6,15,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,115,1,Canceled
154,58,2018,3,21,1,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,83.3,1,Canceled
155,0,2018,4,5,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,89,0,Not_Canceled
156,5,2018,11,6,2,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,113.23,1,Not_Canceled
157,6,2018,9,19,1,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,129.7,0,Not_Canceled
158,125,2018,4,12,0,5,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,99.45,0,Not_Canceled
159,263,2018,9,29,2,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.3,0,Canceled
160,220,2018,8,15,1,1,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,99,1,Not_Canceled
161,39,2017,8,14,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109,0,Not_Canceled
162,37,2018,11,1,0,2,Meal Plan 1,1,Room_Type 1,2,1,Online,0,0,0,135,1,Not_Canceled
163,18,2018,6,2,1,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,140.9,1,Not_Canceled
164,17,2018,12,29,1,3,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,152.1,1,Not_Canceled
165,124,2018,10,9,2,0,Meal Plan 1,0,Room_Type 4,2,1,Online,0,0,0,135,0,Canceled
166,22,2018,9,27,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,133,1,Not_Canceled
167,156,2018,8,16,2,7,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,134.58,1,Canceled
168,65,2018,4,23,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,118.8,1,Not_Canceled
169,186,2018,4,22,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,40,0,Not_Canceled
170,78,2018,3,25,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,100,0,Canceled
171,50,2018,4,11,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,99.45,0,Canceled
172,178,2018,7,28,2,5,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,127.62,1,Canceled
173,141,2017,9,20,1,0,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,90,0,Canceled
174,3,2018,1,18,1,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,2,17,66,0,Not_Canceled
175,52,2018,4,21,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,94.5,0,Canceled
176,143,2018,8,25,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,100,0,Not_Canceled
177,124,2017,8,8,2,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,94.5,0,Not_Canceled
178,84,2018,8,15,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,117.9,1,Not_Canceled
179,16,2018,1,27,0,1,Meal Plan 1,1,Room_Type 1,2,0,Online,0,0,0,102,1,Not_Canceled
180,99,2018,5,6,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,134.16,2,Not_Canceled
181,24,2018,12,21,0,4,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,147.9,1,Not_Canceled
182,11,2018,1,24,2,0,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,70.3,1,Not_Canceled
183,118,2018,7,1,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,107.95,1,Not_Canceled
184,145,2018,1,3,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,65,0,Not_Canceled
185,30,2018,6,22,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,0,Canceled
186,6,2018,2,22,1,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,92,0,Not_Canceled
187,55,2018,2,1,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.95,0,Not_Canceled
188,20,2018,1,31,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,66,0,Not_Canceled
189,1,2017,9,9,0,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,90,0,Not_Canceled
190,58,2018,6,1,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,140.4,0,Canceled
191,0,2018,8,7,1,0,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,98,1,Canceled
192,250,2018,10,28,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,0,Canceled
193,124,2017,8,8,2,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,94.5,0,Canceled
194,34,2017,12,1,0,3,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,80,0,Not_Canceled
195,0,2018,8,23,0,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,225,2,Not_Canceled
196,88,2018,11,7,1,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,136.06,1,Canceled
197,16,2017,9,18,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,154.4,1,Canceled
198,10,2018,3,5,2,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,2,24,66,1,Not_Canceled
199,3,2018,8,20,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,140,3,Not_Canceled
200,13,2018,2,16,0,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,85,0,Not_Canceled
201,174,2018,8,2,0,2,Meal Plan 1,0,Room_Type 4,3,1,Online,0,0,0,166.7,2,Canceled
202,28,2018,3,27,1,0,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,167,0,Canceled
203,159,2018,8,20,2,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,72.25,0,Not_Canceled
204,53,2018,5,17,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,1,Not_Canceled
205,1,2018,9,29,0,3,Meal Plan 2,0,Room_Type 1,2,0,Corporate,0,0,0,146,0,Not_Canceled
206,163,2018,10,15,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115,0,Canceled
207,9,2018,2,17,0,3,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,117,0,Not_Canceled
208,96,2017,7,22,1,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,76.5,1,Canceled
209,24,2017,9,19,1,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,87.78,2,Not_Canceled
210,127,2018,3,19,2,5,Meal Plan 1,0,Room_Type 2,2,0,Online,0,0,0,94.7,1,Canceled
211,35,2018,2,24,0,3,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,93.63,1,Not_Canceled
212,45,2018,3,19,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,131.4,1,Canceled
213,40,2018,7,26,0,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,125,1,Not_Canceled
214,59,2018,6,27,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,101.1,0,Canceled
215,19,2017,10,27,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,95,1,Not_Canceled
216,8,2018,5,28,2,2,Meal Plan 1,0,Room_Type 4,1,0,Online,0,0,0,130.48,0,Canceled
217,146,2018,10,19,1,4,Meal Plan 2,0,Room_Type 4,2,0,Online,0,0,0,166.5,2,Not_Canceled
218,39,2018,3,4,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,76.5,0,Canceled
219,145,2018,6,30,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,Not_Canceled
220,301,2018,7,30,1,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,115,1,Canceled
221,123,2018,4,21,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.08,0,Not_Canceled
222,87,2018,4,30,1,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,111.6,1,Canceled
223,45,2018,4,24,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,99.79,0,Not_Canceled
224,102,2018,5,29,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,80.75,0,Not_Canceled
225,86,2018,10,24,1,3,Meal Plan 2,0,Room_Type 6,2,2,Online,0,0,0,221.18,0,Canceled
226,4,2018,2,19,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,81,0,Not_Canceled
227,117,2018,10,24,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,80.75,0,Not_Canceled
228,42,2018,7,24,2,0,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,168.3,1,Not_Canceled
229,270,2018,4,20,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,62.8,0,Canceled
230,34,2018,4,30,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,159.3,0,Canceled
231,59,2018,7,24,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,94.5,1,Not_Canceled
232,118,2018,6,6,1,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,110,0,Not_Canceled
