,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,isCanceled,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online
43,108,2018,7,16,2,5,0,2,0,0,0,0,121.37,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
44,433,2018,9,8,0,3,0,2,0,0,0,0,70.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,48,2017,9,11,0,1,0,1,0,0,0,0,80.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,141,2018,5,18,0,2,0,3,0,0,0,0,115.61,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47,1,2017,8,20,0,2,0,2,0,0,0,0,106.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,21,2018,2,6,0,1,0,2,0,0,0,0,91.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,1,2018,9,29,0,1,0,2,0,0,0,0,106.2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,45,2018,4,13,0,2,0,2,0,0,0,0,94.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
51,1,2018,2,19,0,1,1,2,0,0,0,0,91.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
52,2,2017,11,9,1,2,0,1,0,0,0,0,79.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,131,2018,5,5,0,3,0,2,0,0,0,0,114.3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
54,211,2018,5,20,0,2,0,2,0,0,0,0,100.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
55,74,2017,9,18,0,2,0,2,0,0,0,0,109.0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,113,2018,7,18,1,3,0,2,0,0,0,0,107.55,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
57,4,2018,5,1,1,0,0,1,0,0,0,0,125.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
58,33,2018,10,28,2,2,0,2,0,0,0,0,109.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
59,150,2018,7,14,2,8,0,3,0,0,0,0,131.75,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,27,2018,12,1,1,3,0,1,0,0,0,0,96.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61,54,2018,6,3,0,1,0,2,0,0,0,0,140.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,87,2018,7,1,0,2,0,2,0,0,0,0,114.3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,4,2018,2,5,2,2,0,2,0,0,0,0,81.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
64,93,2018,10,16,4,6,0,2,0,0,0,0,129.51,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
65,386,2018,10,23,2,0,0,2,0,0,0,0,115.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66,0,2018,6,3,0,1,0,2,0,0,0,0,129.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
67,145,2017,8,29,2,1,0,2,0,0,0,0,94.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,241,2018,10,30,2,3,0,2,0,0,0,0,75.92,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
69,163,2018,8,26,0,2,0,2,0,0,0,0,96.3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,71,2018,10,7,0,1,0,2,0,0,0,0,108.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,1,2017,12,15,0,1,0,1,0,1,0,2,75.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
72,26,2018,4,11,1,0,0,2,0,0,0,0,89.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,64,2018,6,19,2,2,0,2,0,0,0,0,116.1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,292,2018,7,21,0,2,0,2,0,0,0,0,115.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,71,2018,6,14,0,3,0,1,0,0,0,0,120.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,1,2018,3,12,1,1,0,2,0,0,0,0,88.43,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
77,266,2018,12,26,1,3,0,2,0,0,0,0,73.95,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78,258,2018,10,16,1,0,0,2,0,0,0,0,110.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
79,10,2017,10,5,1,3,0,2,0,0,0,0,135.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,40,2017,10,19,1,2,0,1,0,0,0,0,75.6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
81,129,2018,4,11,1,3,0,2,0,0,0,0,80.75,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
82,5,2018,7,12,0,3,0,3,0,0,0,0,187.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
83,158,2018,4,16,2,1,0,2,0,0,0,0,69.92,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
84,130,2018,6,27,1,2,0,2,0,0,0,0,96.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,42,2018,1,16,2,1,0,2,0,0,0,0,78.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,0,2018,5,24,0,1,0,1,0,0,0,0,105.34,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87,23,2018,9,5,1,0,0,2,0,0,0,0,93.94,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,39,2018,1,17,2,0,0,2,0,0,0,0,89.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
89,179,2018,8,31,0,2,0,2,1,0,0,0,111.6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
90,1,2018,1,27,0,2,0,1,0,0,0,0,71.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
91,13,2018,3,27,2,2,0,2,0,0,0,0,79.15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
92,69,2017,7,12,2,0,0,2,0,0,0,0,76.5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
93,69,2018,10,17,1,3,0,2,0,0,0,0,90.95,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
94,40,2018,8,28,2,5,0,2,1,0,0,0,127.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
96,82,2018,4,6,1,4,0,2,0,0,0,0,99.45,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
97,186,2018,8,6,2,6,0,3,0,0,0,0,130.05,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
98,195,2018,8,7,2,1,0,2,0,0,0,0,99.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
99,16,2017,9,9,0,3,0,3,0,0,0,0,131.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
100,9,2018,2,24,0,2,0,1,0,0,0,0,67.22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,25,2018,10,17,1,2,0,1,0,0,0,0,129.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
102,215,2018,5,4,0,4,0,1,0,0,0,0,100.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
103,5,2017,11,10,0,4,0,2,0,0,0,0,76.58,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
104,15,2018,8,28,2,0,0,2,0,0,0,0,130.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
105,221,2017,10,10,2,1,0,2,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,38,2018,3,5,0,1,0,1,0,0,0,0,67.6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
107,15,2018,3,4,0,2,0,3,0,0,0,0,135.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
108,99,2018,2,14,2,2,0,2,0,0,0,0,79.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
109,185,2018,12,16,1,2,0,2,0,0,0,0,103.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
110,0,2018,10,15,1,1,0,1,0,0,0,0,66.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
111,19,2018,12,28,2,5,0,2,0,0,0,0,121.2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
112,3,2017,8,18,0,2,0,2,0,0,0,0,122.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
113,41,2017,11,1,2,3,0,2,0,0,0,0,60.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
114,1,2018,2,26,0,1,0,3,0,0,0,0,127.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
115,88,2018,4,8,1,2,0,2,0,0,0,0,58.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
116,26,2017,10,19,1,3,0,2,0,0,0,0,75.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
117,20,2018,11,1,0,3,0,2,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
118,54,2017,10,5,1,0,0,1,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
119,65,2018,9,7,0,3,0,2,0,0,0,0,136.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
120,259,2018,5,5,0,3,0,2,0,0,0,0,90.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
121,141,2018,5,15,2,2,0,2,0,0,0,0,104.55,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
122,65,2017,12,30,1,4,0,2,0,0,0,0,96.2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
123,19,2018,9,23,1,2,0,2,0,0,0,0,139.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
124,64,2018,10,25,0,2,0,2,0,0,0,0,80.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
125,46,2018,8,28,2,4,0,2,0,0,0,0,81.31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126,5,2018,4,4,1,1,0,1,0,0,0,0,95.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
127,7,2018,12,20,0,4,0,2,1,0,0,0,100.73,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
128,99,2018,4,5,0,3,0,2,1,0,0,0,90.63,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
129,3,2017,10,19,1,2,0,1,0,0,0,0,133.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,55,2018,6,26,2,2,0,2,0,0,0,0,108.9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,9,2017,12,27,2,1,0,2,0,0,0,0,103.67,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
132,286,2018,9,16,0,2,0,2,0,0,0,0,117.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
133,60,2018,12,23,0,1,0,2,2,0,0,0,156.6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
134,84,2018,9,7,0,1,0,1,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
135,8,2018,3,18,2,3,0,2,2,0,0,0,214.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
136,30,2018,1,1,0,2,0,2,0,0,0,0,92.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
137,20,2018,8,31,0,2,0,2,0,0,0,0,122.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
138,69,2018,5,9,1,4,0,1,1,0,0,0,135.15,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
139,305,2018,11,4,1,2,0,2,0,0,0,0,89.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
140,0,2018,3,9,0,1,0,1,0,1,2,24,65.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
141,32,2018,2,5,2,3,0,2,1,0,0,0,80.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
142,64,2018,8,29,1,4,0,2,1,0,0,0,148.5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
143,33,2018,11,13,2,2,0,2,0,0,0,0,97.4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,122,2018,4,15,0,2,0,2,0,0,0,0,85.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
145,99,2018,8,8,1,2,0,3,0,0,0,0,166.4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
146,146,2018,7,16,2,2,0,2,0,0,0,0,99.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
147,173,2018,3,31,0,3,0,2,0,0,0,0,100.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
148,4,2018,9,5,1,1,0,2,0,0,0,0,149.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
149,26,2018,8,30,0,2,0,2,0,0,0,0,122.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
150,123,2018,3,30,0,3,0,2,0,0,0,0,110.33,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
151,5,2018,4,11,3,8,0,1,0,0,0,0,95.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
152,256,2018,6,15,0,2,0,2,0,0,0,0,115.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
153,58,2018,3,21,1,3,0,2,0,0,0,0,83.3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
154,0,2018,4,5,0,1,0,1,0,0,0,0,89.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
155,5,2018,11,6,2,3,0,1,0,0,0,0,113.23,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
156,6,2018,9,19,1,1,0,1,0,0,0,0,129.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
157,125,2018,4,12,0,5,0,2,0,0,0,0,99.45,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
158,263,2018,9,29,2,4,0,2,0,0,0,0,100.3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
159,220,2018,8,15,1,1,1,2,0,0,0,0,99.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,39,2017,8,14,0,2,0,2,0,0,0,0,109.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161,37,2018,11,1,0,2,1,2,1,0,0,0,135.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
162,18,2018,6,2,1,3,0,2,0,0,0,0,140.9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
163,17,2018,12,29,1,3,0,2,1,0,0,0,152.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
164,124,2018,10,9,2,0,0,2,1,0,0,0,135.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
165,22,2018,9,27,0,2,0,1,0,0,0,0,133.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
166,156,2018,8,16,2,7,0,2,0,0,0,0,134.58,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
167,65,2018,4,23,0,1,0,2,0,0,0,0,118.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
168,186,2018,4,22,1,2,0,2,0,0,0,0,40.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
169,78,2018,3,25,1,2,0,2,0,0,0,0,100.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,50,2018,4,11,1,3,0,2,0,0,0,0,99.45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
171,178,2018,7,28,2,5,0,3,0,0,0,0,127.62,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
172,141,2017,9,20,1,0,0,2,0,0,0,0,90.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
173,3,2018,1,18,1,2,0,1,0,1,2,17,66.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
174,52,2018,4,21,0,2,0,2,0,0,0,0,94.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
175,143,2018,8,25,0,3,0,2,0,0,0,0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
176,124,2017,8,8,2,1,0,2,0,0,0,0,94.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
177,84,2018,8,15,1,0,0,2,0,0,0,0,117.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
178,16,2018,1,27,0,1,1,2,0,0,0,0,102.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
179,99,2018,5,6,2,3,0,2,0,0,0,0,134.16,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
180,24,2018,12,21,0,4,0,2,2,0,0,0,147.9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
181,11,2018,1,24,2,0,0,1,0,0,0,0,70.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
182,118,2018,7,1,2,5,0,2,0,0,0,0,107.95,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
183,145,2018,1,3,2,1,0,2,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
184,30,2018,6,22,0,1,0,2,0,0,0,0,126.9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
185,6,2018,2,22,1,2,0,1,0,0,0,0,92.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
186,55,2018,2,1,1,3,0,2,0,0,0,0,75.95,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
187,20,2018,1,31,2,1,0,2,0,0,0,0,66.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
188,1,2017,9,9,0,2,0,1,0,0,0,0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
189,58,2018,6,1,0,3,0,2,0,0,0,0,140.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
190,0,2018,8,7,1,0,0,2,0,0,0,0,98.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
191,250,2018,10,28,2,2,0,2,0,0,0,0,90.95,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
192,124,2017,8,8,2,1,0,2,0,0,0,0,94.5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
193,34,2017,12,1,0,3,0,1,0,0,0,0,80.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
194,0,2018,8,23,0,1,0,3,0,0,0,0,225.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
195,88,2018,11,7,1,3,0,1,0,0,0,0,136.06,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
196,16,2017,9,18,2,3,0,2,0,0,0,0,154.4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
197,10,2018,3,5,2,2,0,1,0,1,2,24,66.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
198,3,2018,8,20,0,1,0,2,0,0,0,0,140.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
199,13,2018,2,16,0,1,0,1,0,0,0,0,85.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
